book_id,Book_Name,guten_genre,Author_Name
pg18708,Dr. Dumany's Wife,Literary,Jkai| Mr
pg1875,Painted Windows,Literary,Peattie| Elia Wilkinson
pg1878,A Millionaire of Yesterday,Detective and Mystery,Oppenheim| E. Phillips
pg18822,The House of Martha,Literary,Stockton| Frank Richard
pg18829,Winner Take All,Literary,Evans| Larry
pg1888,The Bittermeads Mystery,Detective and Mystery,Punshon| E. R.
pg18894,Then I'll Come Back to You,Literary,Evans| Larry
pg1897,The Seventh Man,Western Stories,Brand| Max
pg18984,The Starbucks,Literary,Read| Opie Percival
pg19121,Sword and Gown: A Novel,Literary,Lawrence| George A.
pg19147,The House in the Mist,Detective and Mystery,Green| Anna Katharine
pg19173,The Cow Puncher,Literary,Stead| Robert J. C.
pg19204,Lady Larkspur,Literary,Nicholson| Meredith
pg19224,The Alchemist's Secret,Literary,Williams| Isabel Cecilia
pg19225,Joyce of the North Woods,Literary,Comstock| Harriet T.
pg19257,Michael McGrath- Postmaster,Literary,Connor| Ralph
pg19259,His Heart's Queen,Literary,Sheldon| Mrs. Georgie
pg19459,Born Again,Literary,Lawson| Alfred W.
pg19472,Branded,Western Stories,Lynde| Francis
pg19510,North of Fifty-Three,Literary,Sinclair| Bertrand W.
pg19512,Kate Danton- Captain Danton's Daughters: A Novel,Literary,Fleming| May Agnes
pg1960,Sight Unseen,Detective and Mystery,Rinehart| Mary Roberts
pg1963,The Confession,Detective and Mystery,Rinehart| Mary Roberts
pg19818,Dixie Hart,Literary,Harben| Will N.
pg20235,Heart - A Social Novel,Literary,Tupper| Martin Farquhar
pg20257,A Political Romance,Literary,Sterne| Laurence
pg20359,The Lovely Lady,Literary,Austin| Mary Hunter
pg20424,A Son of the Hills,Literary,Comstock| Harriet T.
pg20429,The Seventh Noon,Literary,Bartlett| Frederick Orin
pg20458,The Triflers,Literary,Bartlett| Frederick Orin
pg20462,Ernest Linwood- The Inner Life of the Author,Literary,Hentz| Caroline Lee
pg20610,The Complete Prose Works of Martin Farquhar Tupper,Literary,Tupper| Martin Farquhar
pg20615,The Master-Knot of Human Fate,Literary,Meredith| Ellis
pg20661,The Romance of an Old Fool,Love and Romance,Field| Roswell Martin
pg20835,The Monctons: A Novel. Volume 1 (of 2),Literary,Moodie| Susanna
pg20901,In Apple-Blossom Time: A Fairy-Tale to Date,Love and Romance,Burnham| Clara Louise
pg21067,Overdue: The Story of a Missing Ship,Sea and Adventure,Collingwood| Harry
pg21087,The Ghost Ship: A Mystery of the Sea,Sea and Adventure,Hutcheson| John C.
pg2155,Phyllis of Philistia,Literary,Moore| Frank Frankfort
pg21578,Rattlin the Reefer,Sea and Adventure,Howard| Edward
pg21613,On the Stairs,Literary,Fuller| Henry Blake
pg21641,April's Lady: A Novel,Literary,Duchess|
pg21674,The Making of a Soul,Literary,Rhodes| Kathlyn
pg21689,The Tyranny of Weakness,Literary,Buck| Charles Neville
pg21690,Flint: His Faults- His Friendships and His Fortunes,Literary,Goodwin| Maud Wilder
pg21767,Agatha's Husband: A Novel,Literary,Craik| Dinah Maria Mulock
pg21821,The Mark Of Cain,Literary,Lang| Andrew
pg21858,The Daughters of Danaus,Literary,Caird| Mona
pg21867,Afterwards,Literary,Rhodes| Kathlyn
pg21870,Luna Benamor,Literary,Ibez| Vicente Blasco
pg21887,Blacksheep! Blacksheep!,Sea and Adventure,Nicholson| Meredith
pg21932,Embarrassments,Literary,James| Henry
pg21944,The Pleasant Street Partnership: A Neighborhood Story,Literary,Leonard| Mary Finley
pg22158,The Lure of the Mask,Literary,MacGrath| Harold
pg22202,Aunt Rachel - A Rustic Sentimental Comedy,Literary,Murray| David Christie
pg22205,In Direst Peril,Literary,Murray| David Christie
pg22206,An Old Meerschaum - From Coals Of Fire And Other Stories- Volume II. (of III.),Literary,Murray| David Christie
pg22207,The Romance Of Giovanni Calvotti - From Coals Of Fire And Other Stories- Volume II. (of III.),Literary,Murray| David Christie
pg22208,Cruel Barbara Allen - From Coals Of Fire And Other Stories- Volume II. (of III.),Literary,Murray| David Christie
pg22214,Molly Bawn,Literary,Duchess| 
pg22221,Oswald Langdon - Pierre and Paul Lanier. A Romance of 1894-1898,Literary,Hamilton| Levi Jackson
pg22271,"Schwartz: A History - From ""Schwartz"" by David Christie Murray",Literary,Murray| David Christie
pg22272,"Young Mr. Barter's Repentance - From ""Schwartz"" by David Christie Murray",Literary,Murray| David Christie
pg22273,"Bulldog And Butterfly - From ""Schwartz"" by David Christie Murray",Literary,Murray| David Christie
pg22274,"Julia And Her Romeo: A Chronicle Of Castle Barfield - From ""Schwartz"" by David Christie Murray",Literary,Murray| David Christie
pg22275,VC — A Chronicle of Castle Barfield and of the Crimea,Literary,Murray| David Christie
pg22276,Despair's Last Journey,Literary,Murray| David Christie
pg22476,"The Tale Of Mr. Peter Brown - Chelsea Justice - From ""The New Decameron""|| Volume III.",Literary,Sackville-West| Vita
pg22532,Mary Louise and Josie O'Gorman,Literary,Sampson| Emma Speed
pg22660,King Candaules,Literary,Gautier| Thophile
pg22781,32 Caliber,Literary,McGibeny| Donald
pg2287,Havoc,Detective and Mystery,Oppenheim| E. Phillips
pg22883,Doctor Luttrell's First Patient,Love and Romance,Carey| Rosa Nouchette
pg22961,Nell- of Shorne Mills- One Heart's Burden,Literary,Garvice| Charles
pg23009,A Modern Idyll,Literary,Harris| Frank
pg23010,Gulmore- The Boss,Literary,Harris| Frank
pg23012,Elder Conklin,Literary,Harris| Frank
pg23106,Helen and Arthur- Miss Thusa's Spinning Wheel,Literary,Hentz| Caroline Lee
pg23118,A Chinese Command: A Story of Adventure in Eastern Seas,Sea and Adventure,Collingwood| Harry
pg23157,Other People's Business: The Romantic Career of the Practical Miss Dale,Literary,Smith| Harriet L.
pg23215,Old Ebenezer,Literary,Read| Opie Percival
pg23222,The Fête At Coqueville - 1907,Literary,Zola| ile
pg23223,Good Blood,Literary,Wildenbruch| Ernst von
pg23246,Mistress Anne,Literary,Bailey| Temple
pg23420,The Folly Of Eustace - 1896,Literary,Hichens| Robert
pg23606,The Man Next Door,Literary,Hough| Emerson
pg23629,The Riddle Of The Rocks - 1895,Literary,Murfree| Mary Noailles
pg23630,The Phantoms Of The Foot-Bridge - 1895,Literary,Murfree| Mary Noailles
pg23631,The Moonshiners At Hoho-Hebee Falls - 1895,Literary,Murfree| Mary Noailles
pg23632,'way Down In Lonesome Cove - 1895,Literary,Murfree| Mary Noailles
pg23633,"His ""Day In Court"" - 1895",Literary,Murfree| Mary Noailles
pg23664,Flamsted quarries,Literary,Waller| Mary E.
pg23736,The Dew of Their Youth,Literary,Crockett| S. R.
pg23741,David Malcolm,Literary,Lloyd| Nelson
pg23745,Aladdin & Co.: A Romance of Yankee Magic,Literary,Quick| Herbert
pg23789,Cruel As The Grave,Literary,Southworth| Emma Dorothy Eliza Nevitte
pg23797,A True Friend: A Novel,Literary,Sergeant| Adeline
pg24769,The Opal Serpent,Detective and Mystery,Hume| Fergus
pg24920,The Book of All-Power,Literary,Wallace| Edgar
pg25702,The Kingdom Round the Corner: A Novel,Literary,Ashford| Angela| Ashford| Daisy
pg25730,An Apostate: Nawin of Thais,Literary,Dawson| Coningsby
pg26259,Her Mother's Secret,Literary,Hume| Fergus
pg26277,Margarita's Soul: The Romantic Recollections of a Man of Fifty,Literary,Southworth| Emma Dorothy Eliza Nevitte
pg26306,Simon,Detective and Mystery,Bacon| Josephine Daskam
pg26482,Madeline Payne- the Detective's Daughter,Detective and Mystery,Lynch| Lawrence L.
pg2675,Burlesques,Literary,Lynch| Lawrence L.
pg26768,Ringfield: A Novel,Literary,Thackeray| William Makepeace
pg26828,A Red Wallflower,Literary,Harrison| S. Frances
pg26847,A Pessimist in Theory and Practice,Literary,Warner| Susan
pg26925,The Bradys Beyond Their Depth- The Great Swamp Mystery,Detective and Mystery,Bird| Frederic Mayer
pg27323,Bird of Paradise,Literary,Seltzer| Charles Alden
pg27507,The Giant's Robe,Literary,Sabin| Edwin L.
pg27549,The Seven Secrets,Detective and Mystery,Anstey| F.
pg27709,Five O'Clock Tea: Farce,Literary,Queux| William Le
pg27838,A Bachelor's Dream,Literary,Howells| William Dean
pg27857,The Dominant Dollar,Literary,Duchess|
pg27909,Dick Leslie's Luck: A Story of Shipwreck and Adventure,Sea and Adventure,Lillibridge| Will
pg28229,Anderson Crow- Detective,Detective and Mystery,Morris| Gouverneur
pg28236,A Romantic Young Lady,Literary,McCutcheon| George Barr
pg28301,The Beloved Woman,Literary,Grant| Robert
pg28459,In Brief Authority,Literary,Norris| Kathleen Thompson
pg28463,Not Like Other Girls,Literary,Anstey| F.
pg28465,The Limit,Literary,Leverson| Ada
pg28509,The Brass Bound Box,Literary,Raymond| Evelyn
pg28717,Wee Wifie,Literary,Carey| Rosa Nouchette
pg28925,Lover or Friend,Literary,Carey| Rosa Nouchette
pg29071,Chit-Chat  Nirvana  The Searchlight,Literary,Holt| Mathew Joseph
pg29207,Cleo The Magnificent- The Muse of the Real: A Novel,Literary,Zangwill| Louis
pg29219,The First Violin - A Novel,Literary,Fothergill| Jessie
pg29274,People of Position,Literary,Hyatt| Stanley Portal
pg29315,Australia Revenged,Literary,Boomerang|
pg29323,An Old Sailor's Yarns,Sea and Adventure,Ames| N.
pg29366,The Prisoner,Literary,Brown| Alice
pg29400,Murder Point: A Tale of Keewatin,Detective and Mystery,Dawson| Coningsby
pg29570,Rope,Literary,Hall| Holworthy
pg29646,Once to Every Man,Literary,Evans| Larry
pg29657,Mixed Faces,Literary,Norton| Roy
pg29671,Nobody,Literary,Vance| Louis Joseph
pg29695,The Hound From The North,Literary,Cullum| Ridgwell
pg29697,The Heart of Thunder Mountain,Literary,Bingham| Edfrid A.
pg29699,Hetty's Strange History,Literary,Jackson| Helen Hunt
pg29715,The Princess Virginia,Literary,Williamson| A. M.| Williamson| C. N.
pg29726,The Strollers,Literary,Isham| Frederic Stewart
pg29729,Victor's Triumph - Sequel to A Beautiful Fiend,Literary,Southworth| Emma Dorothy Eliza Nevitte
pg29743,The Missionary,Literary,Griffith| George Chetwynd
pg29753,The Gorgeous Girl,Literary,Bartley| Nalbro
pg29760,The Dominant Strain,Literary,Ray| Anna Chapin
pg29766,Audrey Craven,Literary,Sinclair| May
pg29808,The Man Who Wins,Literary,Herrick| Robert
pg29847,The Paliser case,Literary,Saltus| Edgar
pg29851,Dwellers in the Hills,Literary,Post| Melville Davisson
pg29860,A Great Man: A Frolic,Literary,Bennett| Arnold
pg29862,The Old Countess- The Two Proposals,Literary,Stephens| Ann S.
pg29868,Love and Lucy,Literary,Hewlett| Maurice
pg29880,The Crimson Tide: A Novel,Literary,Chambers| Robert W.
pg29890,The Doctor's Family,Literary,Oliphant| Mrs.
pg29891,The Rector,Literary,Oliphant| Mrs.
pg29902,Changing Winds - A Novel,Literary,Ervine| St. John G.
pg29945,Jan and Her Job,Literary,Harker| L. Allen
pg30031,The Eye of Dread,Literary,Erskine| Payne
pg30037,In the Shadow of the Hills,Literary,Shedd| George C.
pg30074,Jessica- the Heiress,Literary,Raymond| Evelyn
pg30075,Our Next-Door Neighbors,Literary,Maniates| Belle Kanaris
pg30087,Amaryllis at the Fair,Literary,Jefferies| Richard
pg30089,Young Barbarians,Literary,Maclaren| Ian
pg30090,Robinetta,Literary,Findlater| Jane Helen| Findlater| Mary| McAulay| Allan| Wiggin| Kate Douglas Smith
pg30095,At the Crossroads,Literary,Comstock| Harriet T.
pg30106,The Vast Abyss - The Story of Tom Blount- his Uncles and his Cousin Sam,Literary,Fenn| George Manville
pg30108,The Quality of Mercy,Literary,Howells| William Dean
pg30110,Name and Fame: A Novel,Literary,Sergeant| Adeline
pg30111,A Noble Woman,Literary,Stephens| Ann S.
pg30115,Tante,Literary,Sedgwick| Anne Douglas
pg30137,Daisy Brooks- A Perilous Love,Sea and Adventure,Libbey| Laura Jean
pg30183,A Manual of the Art of Fiction,Literary,Hamilton| Clayton Meeker
pg30193,East of the Shadows,Literary,Barclay| Mrs. Hubert
pg30228,Officer 666,Literary,Currie| Barton Wood| McHugh| Augustin
pg30245,Phemie Frost's Experiences,Literary,Stephens| Ann S.
pg30247,Mabel's Mistake,Literary,Stephens| Ann S.
pg30263,A Captain in the Ranks: A Romance of Affairs,Literary,Eggleston| George Cary
pg30286,The Phantom Lover,Literary,Ayres| Ruby M.
pg30302,The Benefactress,Literary,Arnim| Elizabeth Von
pg30436,Hope Mills- Between Friend and Sweetheart,Literary,Douglas| Amanda M.
pg30448,The Lieutenant-Governor: A Novel,Literary,Carryl| Guy Wetmore
pg30464,A Manifest Destiny,Literary,Magruder| Julia
pg30466,Wild Oranges,Literary,Hergesheimer| Joseph
pg30483,Outside Inn,Literary,Kelley| Ethel M.
pg305,The Count's Millions,Detective and Mystery,Gaboriau| Emile
pg30600,The Pines of Lory,Literary,Mitchell| John Ames
pg30617,A Danish Parsonage,Literary,Vicary| John Fulford
pg30618,Wings of the Wind,Literary,Harris| Credo Fitch
pg30627,In the Heart of a Fool,Literary,White| William Allen
pg30640,Anything Once,Literary,Ostrander| Isabel
pg30648,An Ocean Tramp,Literary,McFee| William
pg30668,Daisy's Necklace- and What Came of It,Literary,Aldrich| Thomas Bailey
pg30692,Sir Tom,Literary,Oliphant| Mrs.
pg30704,The Record of Nicholas Freydon - An Autobiography,Literary,Dawson| A. J.
pg30713,Captain Pott's Minister,Literary,Cooper| Francis L.
pg30724,Absolution,Literary,Viebig| Clara
pg30733,The Fate of Felix Brand,Literary,Kelly| Florence Finch
pg30736,Clark's Field,Literary,Herrick| Robert
pg30776,Materials and Methods of Fiction - With an Introduction by Brander Matthews,Literary,Hamilton| Clayton Meeker
pg30817,The Beggar Man,Literary,Ayres| Ruby M.
pg30838,Ashton-Kirk- Criminologist,Detective and Mystery,McIntyre| John Thomas
pg30980,Kidnapped at the Altar- The Romance of that Saucy Jessie Bain,Sea and Adventure,Libbey| Laura Jean
pg31004,Ten Thousand a-Year. Volume 1.,Literary,Warren| Samuel
pg31083,The Recipe for Diamonds,Sea and Adventure,Hyne| Charles John Cutcliffe Wright
pg31241,Aliens,Literary,McFee| William
pg31561,Cupid's Middleman,Literary,Lent| Edward B.
pg31563,"Walladmor- Vol. 1 (of 2) - ""Freely Translated into German from the English of Sir Walter Scott."" And Now Freely Translated from the German into English.",Literary,Alexis| Willibald
pg31568,"Walladmor- Vol. 2 (of 2) - ""Freely Translated into German from the English of Sir Walter Scott."" And Now Freely Translated from the German into English.",Literary,Alexis| Willibald
pg31578,Room Number 3- and Other Detective Stories,Detective and Mystery,Green| Anna Katharine
pg31668,The Serapion Brethren- Vol. II,Literary,Hoffmann| E. T. A.
pg31813,Checkers: A Hard-luck Story,Literary,Blossom| Henry
pg31820,The Serapion Brethren- Vol. I.,Literary,Hoffmann| E. T. A.
pg31825,Portia- By Passions Rocked,Literary,Duchess|
pg31915,An Artist in Crime,Detective and Mystery,Ottolengui| Rodrigues
pg31927,The Portal of Dreams,Literary,Buck| Charles Neville
pg31984,A Life Sentence: A Novel,Literary,Sergeant| Adeline
pg32042,Captain Macedoine's Daughter,Literary,McFee| William
pg32082,A Rent In A Cloud,Literary,Lever| Charles James
pg32114,Command,Sea and Adventure,McFee| William
pg32115,Rose MacLeod,Literary,Brown| Alice
pg32116,When the Cock Crows,Literary,Baily| Waldron
